Vordere Stalden;592;Schwarzsee
Grabe;22;Oberschrot
Grabe;16;Oberschrot
Grabe;12;Oberschrot
Grabe;9;Oberschrot
Grabe;5;Oberschrot
Grabe;3;Oberschrot
Büel;46;Oberschrot
Büel;50;Oberschrot
Büel;52;Oberschrot
Büel;54;Oberschrot
Büel;58;Oberschrot
Zelgli;42;Oberschrot
Zelgli;44;Oberschrot
Zelgli;17;Oberschrot
Zelgli;16;Oberschrot
Zelgli;28;Oberschrot
Zelgli;29;Oberschrot
Zelgli;32;Oberschrot
Bifang;6;Oberschrot
Bifang;17;Oberschrot
Bifang;11;Oberschrot
Bifang;5;Oberschrot
Bifang;3;Oberschrot
Bifang;1;Oberschrot
Büel;45;Oberschrot
Büel;41;Oberschrot
Büel;32;Oberschrot
Büel;33;Oberschrot
Büel;30;Oberschrot
Büel;26;Oberschrot
Büel;29;Oberschrot
Büel;27;Oberschrot
Büel;25;Oberschrot
Büel;1;Oberschrot
Büel;24;Oberschrot
Büel;12;Oberschrot
Büel;14;Oberschrot
Büel;16;Oberschrot
Büel;18;Oberschrot
Büel;19;Oberschrot
Büel;17;Oberschrot
Rishalta;22;Oberschrot
Rishalta;33;Oberschrot
Rishalta;23;Oberschrot
Rishalta;30;Oberschrot
Rishalta;27;Oberschrot
Büel;20;Oberschrot
Büel;28;Oberschrot
Bachmatte;10;Oberschrot
Rishalta;6;Oberschrot
Rishalta;1;Oberschrot
Bachmatte;14;Oberschrot
Bachmatte;16;Oberschrot
Bachmatte;18;Oberschrot
Bachmatte;17;Oberschrot
Bachmatte;20;Oberschrot
Bachmatte;19;Oberschrot
Bachmatte;22;Oberschrot
Bachmatte;21;Oberschrot
Bachmatte;27;Oberschrot
Bachmatte;32;Oberschrot
Bachmatte;33;Oberschrot
Niederried;2;Oberschrot
Niederried;1;Oberschrot
Niederried;3;Oberschrot
Niederried;4;Oberschrot
Niederried;6;Oberschrot
Niederried;12;Oberschrot
Niederried;14;Oberschrot
Niederried;16;Oberschrot
Niederried;17;Oberschrot
Niederried;40;Oberschrot
Niederried;42;Oberschrot
Niederried;56;Oberschrot
Niederried;46;Oberschrot
Niederried;68;Oberschrot
Niederried;65;Oberschrot
Niederried;24;Oberschrot
Niederried;26;Oberschrot
Niederried;28;Oberschrot
Niederried;34;Oberschrot
Haltli;50;Oberschrot
Berg;61;Oberschrot
Berg;65;Oberschrot
Auf der Egg;69;Oberschrot
Auf der Egg;25;Oberschrot
Haltli;2;Oberschrot
Haltli;4;Oberschrot
Haltli;10;Oberschrot
Haltli;9;Oberschrot
Haltli;12;Oberschrot
Haltli;15;Oberschrot
Haltli;18;Oberschrot
Haltli;19;Oberschrot
Haltli;28;Oberschrot
Haltli;30;Oberschrot
Haltli;42;Oberschrot
Haltli;43;Oberschrot
Haltli;38;Oberschrot
Haltli;39;Oberschrot
Sahli;45;Oberschrot
Sahli;3;Oberschrot
Ried;95;Oberschrot
Sahli;17;Oberschrot
Sahli;18;Oberschrot
Sahli;19;Oberschrot
Sahli;23;Oberschrot
Sahli;40;Oberschrot
Sahli;33;Oberschrot
Sahli;39;Oberschrot
Grube;20;Oberschrot
Ried;30;Oberschrot
Ried;52;Oberschrot
Ried;42;Oberschrot
Ried;45;Oberschrot
Ried;46;Oberschrot
Ried;53;Oberschrot
Ried;49;Oberschrot
Ried;57;Oberschrot
Sahli;28;Oberschrot
Gousmatte;65;Oberschrot
Sahli;15;Oberschrot
Sahli;32;Oberschrot
Sahli;30;Oberschrot
Sahli;27;Oberschrot
Sahli;25;Oberschrot
Sahli;35;Oberschrot
Sahli;21;Oberschrot
Sahli;22;Oberschrot
Sahli;24;Oberschrot
Sahli;26;Oberschrot
Ried;2;Oberschrot
Lengisried;5;Oberschrot
Lengisried;10;Oberschrot
Grundberg;4;Oberschrot
Ried;68;Oberschrot
Ried;62;Oberschrot
Ried;64;Oberschrot
Ried;69;Oberschrot
Ried;71;Oberschrot
Ried;98;Oberschrot
Ried;96;Oberschrot
Ried;79;Oberschrot
Ried;80;Oberschrot
Ried;84;Oberschrot
Stahlen;1;Oberschrot
Ried;99;Oberschrot
Löchli;91;Oberschrot
Ried;63;Oberschrot
Bachmatte;46;Oberschrot
Schwarzhärd;2;Oberschrot
Schwarzhärd;16;Oberschrot
Niederried;44;Oberschrot
Schwarzhärd;24;Oberschrot
Schwarzhärd;26;Oberschrot
Plötscha;2;Oberschrot
Plötscha;28;Oberschrot
Plötscha;35;Oberschrot
Plötscha;26;Oberschrot
Plötscha;40;Oberschrot
Plötscha;44;Oberschrot
Plötscha;48;Oberschrot
Plötscha;50;Oberschrot
Plötscha;75;Oberschrot
Plötscha;77;Oberschrot
Plötscha;76;Oberschrot
Plötscha;80;Oberschrot
Plötscha;79;Oberschrot
Plötscha;81;Oberschrot
Plötscha;82;Oberschrot
Plötscha;85;Oberschrot
Plötscha;87;Oberschrot
Plötscha;88;Oberschrot
Plötscha;92;Oberschrot
Plötscha;91;Oberschrot
Plötscha;93;Oberschrot
Plötscha;96;Oberschrot
Plötscha;98;Oberschrot
Plötscha;100;Oberschrot
Plötscha;102;Oberschrot
Plötscha;104;Oberschrot
Plötscha;97;Oberschrot
Plötscha;111;Oberschrot
Plötscha;109;Oberschrot
Plötscha;105;Oberschrot
Plötscha;103;Oberschrot
Breitfeld;1;Oberschrot
Breitfeld;3;Oberschrot
Breitfeld;5;Oberschrot
Breitfeld;9;Oberschrot
Breitfeld;20;Oberschrot
Breitfeld;24;Oberschrot
Breitfeld;26;Oberschrot
Breitfeld;30;Oberschrot
Allmetsried;40;Oberschrot
Allmetsried;42;Oberschrot
Giga;50;Oberschrot
Hubel;40;Oberschrot
Allmetsriedli;117;Oberschrot
Plötscha;123;Oberschrot
Plötscha;124;Oberschrot
Plötscha;134;Oberschrot
Sommerbüel;7;Oberschrot
Tolenhubel;1;Oberschrot
Under Tschüplere;51;Oberschrot
Under Tschüplere;56;Oberschrot
Ober Tschüplere;90;Oberschrot
Ober Tschüplere;100;Oberschrot
Under Tschüplere;70;Oberschrot
Under Tschüplere;61;Oberschrot
Under Tschüplere;65;Oberschrot
Gousmatte;61;Oberschrot
Gousmatte;63;Oberschrot
Bärfeli;23;Oberschrot
Wide;50;Oberschrot
Wide;51;Oberschrot
Stöck;40;Oberschrot
Egg;30;Oberschrot
Egg;34;Oberschrot
Egg;39;Oberschrot
Grundberg;3;Oberschrot
Gousmatte;43;Oberschrot
Under Tschüplere;62;Oberschrot
Gousmatte;45;Oberschrot
Gousmatte;47;Oberschrot
Gousmatte;21;Oberschrot
Gousmatte;38;Oberschrot
Gousmatte;23;Oberschrot
Gousmatte;41;Oberschrot
Grundberg;2;Oberschrot
Gousmatte;30;Oberschrot
Under Tschüplere;59;Oberschrot
Dorfstrasse;2;Plaffeien
Dorfstrasse;17;Plaffeien
Dorfstrasse;8;Plaffeien
Dorfstrasse;14;Plaffeien
Dorfstrasse;27;Plaffeien
Dorfstrasse;18;Plaffeien
Dorfstrasse;24;Plaffeien
Dorfstrasse;26;Plaffeien
