Pont-Sapin;10e;Pontenet;2733
Rue du Beurnez;33;Pontenet;2733
Rue du Beurnez;31;Pontenet;2733
Rue du Beurnez;32;Pontenet;2733
Champ Quin;6;Pontenet;2733
Champ Quin;5;Pontenet;2733
Champ Quin;4;Pontenet;2733
Champ Quin;2;Pontenet;2733
Rue du Beurnez;23;Pontenet;2733
Rue du Beurnez;21;Pontenet;2733
Rue du Beurnez;22;Pontenet;2733
Rue du Beurnez;19;Pontenet;2733
Rue du Beurnez;17;Pontenet;2733
Rue du Beurnez;14;Pontenet;2733
Rue du Beurnez;16;Pontenet;2733
Rue du Beurnez;13;Pontenet;2733
Coin des Bois;2;Pontenet;2733
Coin des Bois;4;Pontenet;2733
Coin des Bois;6;Pontenet;2733
Coin des Bois;8;Pontenet;2733
Rue du Beurnez;9;Pontenet;2733
Rue du Beurnez;7;Pontenet;2733
Rue du Beurnez;5;Pontenet;2733
Rue du Neuf Clos;4;Pontenet;2733
Rue du Neuf Clos;15;Pontenet;2733
Rue du Neuf Clos;11;Pontenet;2733
Rue du Neuf Clos;3;Pontenet;2733
Rue du Neuf Clos;1;Pontenet;2733
Rue de Rosère;2;Pontenet;2733
Moron;57;Pontenet;2733
Rue de Rosère;3;Pontenet;2733
Rue de Rosère;1;Pontenet;2733
Rue du Beurnez;1;Pontenet;2733
Rue du Beurnez;3;Pontenet;2733
Rue du Beurnez;4;Pontenet;2733
Rue de la Motte;1;Pontenet;2733
Clos des Arbres;6;Pontenet;2733
Clos des Arbres;4;Pontenet;2733
Clos des Arbres;3;Pontenet;2733
Clos des Arbres;1;Pontenet;2733
Rue de la Ravière;27;Pontenet;2733
Rue de la Ravière;25;Pontenet;2733
Rue de la Ravière;23;Pontenet;2733
Rue de la Ravière;21;Pontenet;2733
Rue de la Ravière;19;Pontenet;2733
Rue de la Ravière;17;Pontenet;2733
Rue de la Ravière;14;Pontenet;2733
Rue de la Ravière;12;Pontenet;2733
Rue de la Ravière;10;Pontenet;2733
Rue de la Ravière;8;Pontenet;2733
Rue de la Ravière;5;Pontenet;2733
Rue de la Ravière;3;Pontenet;2733
Route cantonale;11;Pontenet;2733
Route cantonale;2;Pontenet;2733
Rue de la Monte;1;Pontenet;2733
Rue de la Monte;3;Pontenet;2733
Rue de la Monte;5;Pontenet;2733
Rive de la Grosse Côte;9;Pontenet;2733
Rive de la Grosse Côte;7;Pontenet;2733
Rive de la Grosse Côte;1;Pontenet;2733
Route cantonale;9;Pontenet;2733
Route cantonale;1;Pontenet;2733
Moron;32;Pontenet;2733
Moron;31;Pontenet;2733
Moron;37;Pontenet;2733
Rameul;33;Pontenet;2733
Moron;35;Pontenet;2733
Moron;35a;Pontenet;2733
Moron;34;Pontenet;2733
Moron;34a;Pontenet;2733
Moron;52;Pontenet;2733
Moron;47;Pontenet;2733
Moron;53;Pontenet;2733
Moron;50;Pontenet;2733
Rue de Rosère;11;Pontenet;2733
Rue de la Ravière;4;Pontenet;2733
Rue de la Ravière;3h;Pontenet;2733
Les Vernes;4;Pontenet;2733
Les Vernes;3;Pontenet;2733
Les Vernes;5;Pontenet;2733
Les Vernes;1;Pontenet;2733
Les Vernes;7;Pontenet;2733
Les Vernes;2;Pontenet;2733
Rue de Rosère;9;Pontenet;2733
Rue du Beurnez;6;Pontenet;2733
Champ Quin;3;Pontenet;2733
Route cantonale;3;Pontenet;2733
Route cantonale;5;Pontenet;2733
