Ober Rossgrat;350e;Trubschachen;3555
Unter Rossgrat;350;Trubschachen;3555
Nageldach;351;Trubschachen;3555
Unter Altgfähl;354;Trubschachen;3555
Ober Altgfähl;353;Trubschachen;3555
Risiseggknubel;355;Trubschachen;3555
Hinter Risisegg;356;Trubschachen;3555
Mühlestatt;388;Trubschachen;3555
Mittler Risisegg;390;Trubschachen;3555
Vorder Risisegg;391;Trubschachen;3555
Vorder Buhus;441;Trubschachen;3555
Ausser Buhus;440;Trubschachen;3555
Stäreneggscheuer;440a;Trubschachen;3555
Mittler Buhus;437c;Trubschachen;3555
Mittler Buhus;437;Trubschachen;3555
Buhusschwändi;438;Trubschachen;3555
Ober Buhus;436c;Trubschachen;3555
Rappennest;444;Trubschachen;3555
Rappennestfluh;443;Trubschachen;3555
Hauptstrasse;4;Trubschachen;3555
Gummenstrasse;1;Trubschachen;3555
Gummenstrasse;3;Trubschachen;3555
Gummenstrasse;2;Trubschachen;3555
Gummenstrasse;5;Trubschachen;3555
Gummenstrasse;6;Trubschachen;3555
Gummenstrasse;10;Trubschachen;3555
Zenzenen;413;Trubschachen;3555
Zenzenen;413d;Trubschachen;3555
Rieseten;414;Trubschachen;3555
Rütti;415;Trubschachen;3555
Hölzli;416;Trubschachen;3555
Mittenbühl;417;Trubschachen;3555
Brunnhüsli;418;Trubschachen;3555
Kellen;420;Trubschachen;3555
Brandhaus;421;Trubschachen;3555
Gummenloch;422;Trubschachen;3555
Scheuermatt;423;Trubschachen;3555
Unter Gummen;424;Trubschachen;3555
Mittler Gummen;427;Trubschachen;3555
Mittler Gummen;425;Trubschachen;3555
Mittler Gummen;430;Trubschachen;3555
Ober Gummen;431;Trubschachen;3555
Ober Gummen;431b;Trubschachen;3555
Hauptstrasse;9;Trubschachen;3555
Hauptstrasse;10;Trubschachen;3555
Hauptstrasse;12;Trubschachen;3555
Hauptstrasse;18;Trubschachen;3555
Hauptstrasse;24;Trubschachen;3555
Hauptstrasse;32;Trubschachen;3555
Hauptstrasse;34;Trubschachen;3555
Hauptstrasse;36;Trubschachen;3555
Hauptstrasse;38;Trubschachen;3555
Hauptstrasse;40;Trubschachen;3555
Hauptstrasse;42;Trubschachen;3555
Gerbebödeli;412;Trubschachen;3555
Grabenhüsli;412a;Trubschachen;3555
Schlössli;411;Trubschachen;3555
Hämelbach;372b;Trubschachen;3555
Hämelbach;372c;Trubschachen;3555
Hämelbach;371;Trubschachen;3555
Hämelbach;372;Trubschachen;3555
Hämelbach;373;Trubschachen;3555
Hämelbachboden;374;Trubschachen;3555
Hämelbach;375;Trubschachen;3555
Hämelbachberg;378;Trubschachen;3555
Grabenhüsli Hämelbach;377;Trubschachen;3555
Hämelbachberg;381;Trubschachen;3555
Hämelbachberg;382;Trubschachen;3555
Hämelbachberg;384;Trubschachen;3555
Moos;369;Trubschachen;3555
Untere Moosweid;368;Trubschachen;3555
Obere Moosweid;367;Trubschachen;3555
Ilfisstrasse;2a;Trubschachen;3555
Ilfisstrasse;2;Trubschachen;3555
Ilfisstrasse;4;Trubschachen;3555
Ilfisstrasse;6;Trubschachen;3555
Ilfisstrasse;10;Trubschachen;3555
Ilfisstrasse;12;Trubschachen;3555
Ilfisstrasse;14;Trubschachen;3555
