Mad;30a;Leissigen;3706
Fritzenbach;41;Leissigen;3706
Mattli;26;Leissigen;3706
Seebacher;28a;Leissigen;3706
Bad;9;Leissigen;3706
Seebacher;54a;Leissigen;3706
Steiweid;446;Leissigen;3706
Neueried;449;Leissigen;3706
Mettlenweg;14;Leissigen;3706
Krattigstrasse;31;Leissigen;3706
Krattigstrasse;29;Leissigen;3706
Krattigstrasse;27;Leissigen;3706
Ried;473;Leissigen;3706
Uferweg;2;Leissigen;3706
Hauptstrasse;76;Leissigen;3706
Läntiweg;46;Leissigen;3706
Läntiweg;44;Leissigen;3706
Läntiweg;38;Leissigen;3706
Hauptstrasse;85;Leissigen;3706
Krattigstrasse;28;Leissigen;3706
Krattigstrasse;26;Leissigen;3706
Dorfstrasse;83;Leissigen;3706
Dorfstrasse;81;Leissigen;3706
Krattigstrasse;2;Leissigen;3706
Dorfstrasse;74;Leissigen;3706
Dorfstrasse;70;Leissigen;3706
Dorfstrasse;68;Leissigen;3706
Dorfstrasse;64;Leissigen;3706
Dorfstrasse;60;Leissigen;3706
Dorfstrasse;36;Leissigen;3706
Läntiweg;35;Leissigen;3706
Trübenbachweg;42;Leissigen;3706
Krattigstrasse;17;Leissigen;3706
Krattigstrasse;9;Leissigen;3706
Krattigstrasse;11;Leissigen;3706
Krattigstrasse;15;Leissigen;3706
Krattigstrasse;1;Leissigen;3706
Dorfstrasse;73;Leissigen;3706
Dorfstrasse;67;Leissigen;3706
Dorfstrasse;65;Leissigen;3706
Dorfstrasse;63;Leissigen;3706
Trübenbachweg;14;Leissigen;3706
Trübenbachweg;27;Leissigen;3706
Trübenbachweg;25;Leissigen;3706
Trübenbachweg;23;Leissigen;3706
Trübenbachweg;21;Leissigen;3706
Trübenbachweg;19;Leissigen;3706
Trübenbachweg;30;Leissigen;3706
Trübenbachweg;28;Leissigen;3706
Trübenbachweg;26;Leissigen;3706
Trübenbachweg;24;Leissigen;3706
Trübenbachweg;22;Leissigen;3706
Bad;19;Leissigen;3706
Trübenbachweg;15;Leissigen;3706
Trübenbachweg;17;Leissigen;3706
Trübenbachweg;16;Leissigen;3706
Trübenbachweg;11;Leissigen;3706
Trübenbachweg;7;Leissigen;3706
Mettlenweg;2;Leissigen;3706
Mettlenweg;4;Leissigen;3706
Mettlenweg;6;Leissigen;3706
Trübenbachweg;8;Leissigen;3706
Trübenbachweg;6;Leissigen;3706
Trübenbachweg;4;Leissigen;3706
Dorfstrasse;45;Leissigen;3706
Dorfstrasse;43;Leissigen;3706
Baumgartenweg;23;Leissigen;3706
Baumgartenweg;17;Leissigen;3706
Baumgartenweg;15;Leissigen;3706
Chrüzweg;6;Leissigen;3706
Baumgartenweg;7;Leissigen;3706
Baumgartenweg;5;Leissigen;3706
Oberer Baumgartenweg;3;Leissigen;3706
Oberer Baumgartenweg;1;Leissigen;3706
Baumgartenweg;24;Leissigen;3706
Baumgartenweg;22;Leissigen;3706
Baumgartenweg;20;Leissigen;3706
Baumgartenweg;18;Leissigen;3706
Baumgartenweg;14;Leissigen;3706
Baumgartenweg;12;Leissigen;3706
Dorfstrasse;39;Leissigen;3706
Dorfstrasse;37;Leissigen;3706
Dorfstrasse;35;Leissigen;3706
Dorfstrasse;33;Leissigen;3706
Dorfstrasse;31;Leissigen;3706
Dorfstrasse;29;Leissigen;3706
Dorfstrasse;27;Leissigen;3706
Dorfstrasse;25;Leissigen;3706
Baumgartenweg;10;Leissigen;3706
Baumgartenweg;8;Leissigen;3706
Dorfstrasse;15;Leissigen;3706
Dorfstrasse;34;Leissigen;3706
Dorfstrasse;30;Leissigen;3706
Dorfstrasse;28;Leissigen;3706
Dorfstrasse;26;Leissigen;3706
Dorfstrasse;22;Leissigen;3706
Dorfstrasse;20;Leissigen;3706
Läntiweg;25;Leissigen;3706
Läntiweg;19;Leissigen;3706
Läntiweg;17;Leissigen;3706
Läntiweg;15;Leissigen;3706
Läntiweg;9;Leissigen;3706
Läntiweg;7;Leissigen;3706
Läntiweg;5;Leissigen;3706
Läntiweg;8;Leissigen;3706
Läntiweg;6;Leissigen;3706
Läntiweg;4;Leissigen;3706
Pfrundweg;1;Leissigen;3706
Dorfstrasse;12;Leissigen;3706
Dorfstrasse;6;Leissigen;3706
Dorfstrasse;4;Leissigen;3706
Dorfstrasse;2;Leissigen;3706
Bürgliweg;1;Leissigen;3706
Tuffbachweg;3;Leissigen;3706
Tuffbachweg;2;Leissigen;3706
Tuffbachweg;4;Leissigen;3706
Tuffbachweg;6;Leissigen;3706
Tuffbachweg;10;Leissigen;3706
Tuffbachweg;12;Leissigen;3706
Oberdorfweg;4;Leissigen;3706
Oberdorfweg;2;Leissigen;3706
Brunngasse;2;Leissigen;3706
Brunngasse;1;Leissigen;3706
Dorfstrasse;9;Leissigen;3706
Zivilgässli;2;Leissigen;3706
Schuelhusgässli;1;Leissigen;3706
Schuelhusgässli;3;Leissigen;3706
Schuelhusgässli;5;Leissigen;3706
Zivilgässli;3;Leissigen;3706
Zivilgässli;1;Leissigen;3706
Dorfstrasse;1;Leissigen;3706
Nythartweg;1;Leissigen;3706
Schuelhusgässli;6;Leissigen;3706
Pörtiggässli;2;Leissigen;3706
Nythartweg;14;Leissigen;3706
Nythartweg;12;Leissigen;3706
Nythartweg;10;Leissigen;3706
Nythartweg;8;Leissigen;3706
Nythartweg;6;Leissigen;3706
Nythartweg;4;Leissigen;3706
Dorfstrasse;11;Leissigen;3706
Oberdorfweg;6;Leissigen;3706
Oberdorfweg;8;Leissigen;3706
Oberdorfweg;14;Leissigen;3706
Oberdorfweg;16;Leissigen;3706
Nythartweg;18;Leissigen;3706
Nythartweg;20;Leissigen;3706
Nythartweg;21;Leissigen;3706
Nythartweg;19;Leissigen;3706
Oberdorfweg;15;Leissigen;3706
Nythartweg;16;Leissigen;3706
Blumenstrasse;6;Leissigen;3706
Blumenstrasse;8;Leissigen;3706
Blumenstrasse;10;Leissigen;3706
Blumenstrasse;12;Leissigen;3706
Blumenstrasse;14;Leissigen;3706
Blumenstrasse;16;Leissigen;3706
Blumenstrasse;18;Leissigen;3706
Blumenstrasse;20;Leissigen;3706
Blumenstrasse;22;Leissigen;3706
Blumenstrasse;24;Leissigen;3706
Ischlagweg;2;Leissigen;3706
Hauptstrasse;65;Leissigen;3706
Hauptstrasse;67;Leissigen;3706
Hauptstrasse;69;Leissigen;3706
Blumenstrasse;1;Leissigen;3706
Hauptstrasse;73;Leissigen;3706
Hauptstrasse;75;Leissigen;3706
Hauptstrasse;62;Leissigen;3706
Pfrundweg;29;Leissigen;3706
Zihl-Zälgweg;46;Leissigen;3706
Zihl-Zälgweg;48;Leissigen;3706
Zihl-Zälgweg;44;Leissigen;3706
Zihl-Zälgweg;40;Leissigen;3706
Hauptstrasse;52;Leissigen;3706
Hauptstrasse;54;Leissigen;3706
Hauptstrasse;58;Leissigen;3706
Hauptstrasse;60a;Leissigen;3706
Ischlagweg;7;Leissigen;3706
Ischlagweg;15;Leissigen;3706
Ischlagweg;16;Leissigen;3706
Ischlagweg;14;Leissigen;3706
Guetliweg;17;Leissigen;3706
Guetliweg;15;Leissigen;3706
Hauptstrasse;63;Leissigen;3706
Ischlagweg;17;Leissigen;3706
Ischlagweg;19;Leissigen;3706
Guetliweg;21;Leissigen;3706
Büel;434a;Leissigen;3706
Zwygarten;3;Leissigen;3706
Zwygarten;5;Leissigen;3706
Bühlweg;14;Leissigen;3706
Bühlweg;20;Leissigen;3706
Bühlweg;15;Leissigen;3706
Bühlweg;17;Leissigen;3706
Bühlweg;19;Leissigen;3706
Bühlweg;21;Leissigen;3706
Bühlweg;26;Leissigen;3706
Bühlweg;23;Leissigen;3706
Bühlweg;25;Leissigen;3706
Bühlweg;27;Leissigen;3706
Bühlweg;29;Leissigen;3706
Bühlweg;33;Leissigen;3706
Bühlweg;36;Leissigen;3706
Bühlweg;38;Leissigen;3706
Bühlweg;40;Leissigen;3706
Guetliweg;31;Leissigen;3706
Neuer Weg;36;Leissigen;3706
Neuer Weg;35;Leissigen;3706
Neuer Weg;32;Leissigen;3706
Neuer Weg;30;Leissigen;3706
Neuer Weg;28;Leissigen;3706
Neuer Weg;31;Leissigen;3706
Neuer Weg;33;Leissigen;3706
Neuer Weg;29;Leissigen;3706
