Bruggacher;2;Reidermoos;6260
Kreuzmatte;14;Mehlsecken;6260
Kreuzmatte;21;Mehlsecken;6260
Kreuzmatte;16;Mehlsecken;6260
Kreuzmatte;23;Mehlsecken;6260
Kreuzmatte;18;Mehlsecken;6260
Kreuzmatte;25;Mehlsecken;6260
Wiggermatte;4;Mehlsecken;6260
Wiggermatte;10;Mehlsecken;6260
Wiggermatte;7;Mehlsecken;6260
Wiggermatte;5;Mehlsecken;6260
Wiggerweg;12;Mehlsecken;6260
Wiggerweg;2;Mehlsecken;6260
Wiggermatte;2;Mehlsecken;6260
Bruggmatte;2;Reiden;6260
Alte Schulhausstrasse;8;Mehlsecken;6260
Alte Schulhausstrasse;5;Mehlsecken;6260
Alte Schulhausstrasse;2;Mehlsecken;6260
Alte Schulhausstrasse;1;Mehlsecken;6260
Mühlehofweg;2;Mehlsecken;6260
Pfaffnauerstrasse;3;Mehlsecken;6260
Pfaffnauerstrasse;1;Mehlsecken;6260
Pfaffnauerstrasse;2;Mehlsecken;6260
Wiggerhof;1;Mehlsecken;6260
Weiermatte;2;Mehlsecken;6260
Weiermatte;6;Mehlsecken;6260
Weiermatte;1;Mehlsecken;6260
Weiermatte;8;Mehlsecken;6260
Am Berg;1;Mehlsecken;6260
Am Berg;3;Mehlsecken;6260
Am Berg;4;Mehlsecken;6260
Am Berg;5;Mehlsecken;6260
Wiggermatte;20;Mehlsecken;6260
Alte Schulhausstrasse;4;Mehlsecken;6260
Alte Schulhausstrasse;6;Mehlsecken;6260
Zelglimatte;4;Mehlsecken;6260
Alte Schulhausstrasse;3;Mehlsecken;6260
Weiermatte;4;Mehlsecken;6260
An der Wigger;7;Reiden;6260
An der Wigger;9;Reiden;6260
An der Wigger;1;Reiden;6260
An der Wigger;3;Reiden;6260
An der Wigger;5;Reiden;6260
Reidmattstrasse;15;Reiden;6260
Reidmattstrasse;13;Reiden;6260
Reidmattstrasse;11;Reiden;6260
Reidmattstrasse;9;Reiden;6260
Reidmattstrasse;7;Reiden;6260
Reidmattstrasse;6;Reiden;6260
Reidmattstrasse;5;Reiden;6260
Reidmattstrasse;4;Reiden;6260
Reidmattstrasse;3;Reiden;6260
Reidmattstrasse;3a;Reiden;6260
Hauptstrasse;65;Reiden;6260
Hauptstrasse;63;Reiden;6260
Hauptstrasse;59;Reiden;6260
Hauptstrasse;57;Reiden;6260
Hauptstrasse;50;Reiden;6260
Hauptstrasse;48;Reiden;6260
Hauptstrasse;29;Reiden;6260
