Garéida Sot;766c;Mesocco
strada de Garéida;23;Mesocco
strada de Garéida;19;Mesocco
strada de Garéida;21;Mesocco
scima Spina;11;Mesocco
scima Spina;7;Mesocco
scima Spina;6;Mesocco
scima Spina;2;Mesocco
strada de Spina;114;Mesocco
strada de Spina;115;Mesocco
strada de Spina;117;Mesocco
strada de Spina;111;Mesocco
strada de Spina;113;Mesocco
strada de Spina;109;Mesocco
strada de Spina;98;Mesocco
strada de Spina;92;Mesocco
strada de Spina;105;Mesocco
strada de Spina;90;Mesocco
strada de Spina;103;Mesocco
strada de Spina;97;Mesocco
strada de Spina;80;Mesocco
strada de Spina;54;Mesocco
strada de Spina;48;Mesocco
strada de Spina;46;Mesocco
strada de Spina;56;Mesocco
strada de Spina;58;Mesocco
Monda;982;Mesocco
strada de Spina;60;Mesocco
strada de Spina;42;Mesocco
strada de Spina;38;Mesocco
Monda;983;Mesocco
strada de Spina;72;Mesocco
strada de Spina;74;Mesocco
strada de Spina;79;Mesocco
strada de Spina;77;Mesocco
strada de Spina;75;Mesocco
strada de Spina;71;Mesocco
strada de Spina;69;Mesocco
strada de Spina;67;Mesocco
strada de Spina;65;Mesocco
strada de Spina;59;Mesocco
strada de Spina;61;Mesocco
strada de Spina;49;Mesocco
strada de Spina;51;Mesocco
strada de Spina;70;Mesocco
strada de Spina;68;Mesocco
strada de Spina;66;Mesocco
strada de Spina;34;Mesocco
strada de Spina;32;Mesocco
strada de Spina;20;Mesocco
strada de Spina;22;Mesocco
strada de Spina;18;Mesocco
Monda;984;Mesocco
strada de Spina;14;Mesocco
strada de Spina;12;Mesocco
strada de Spina;8;Mesocco
strada de Spina;55;Mesocco
strada de Spina;57;Mesocco
Monda;981;Mesocco
strada de Spina;43;Mesocco
strada de Spina;2;Mesocco
strada de Spina;41;Mesocco
strada de Spina;39;Mesocco
strada de Spina;33;Mesocco
strada de Spina;23;Mesocco
strada de Spina;25;Mesocco
strada de Spina;29;Mesocco
strada de Spina;1;Mesocco
Séda;748b;Mesocco
Séda;748a;Mesocco
Séda;644;Mesocco
strada del Pian;74;Mesocco
strada del Pian;68;Mesocco
strada del Pian;5a;Mesocco
Còzz de dént;1;Mesocco
Còzz de dént;9;Mesocco
Còzz de dént;11;Mesocco
Còzz de dént;7;Mesocco
Còzz de dént;13;Mesocco
Còzz de dént;15;Mesocco
Còzz de dént;17;Mesocco
Còzz de dént;5;Mesocco
Còzz de dént;19;Mesocco
Coz;979;Mesocco
Còzz de dént;18;Mesocco
Còzz de dént;2;Mesocco
Còzz de dént;16;Mesocco
Còzz de dént;4;Mesocco
Còzz de dént;6;Mesocco
Còzz de dént;8;Mesocco
Còzz de dént;14;Mesocco
Còzz de dént;22;Mesocco
Còzz de dént;24;Mesocco
Còzz de dént;21;Mesocco
Còzz de dént;23;Mesocco
strada del Pian;60;Mesocco
strada del Pian;64;Mesocco
strada del Pian;58;Mesocco
strada del Pian;48;Mesocco
strada del Pian;46;Mesocco
Pian San Giacomo;685a;Mesocco
Coz;686-a;Mesocco
Pian San Giacomo;685;Mesocco
strada de Ghifa;3;Mesocco
strada del Pian;42;Mesocco
strada del Pian;40;Mesocco
strada del Pian;38a;Mesocco
strada de Ghifa;11;Mesocco
strada de Ghifa;15;Mesocco
strada de Ghifa;17;Mesocco
strada de Ghifa;4;Mesocco
strada de Ghifa;2;Mesocco
strada del Pian;10;Mesocco
strada del Pian;8;Mesocco
strada del Pian;30;Mesocco
strada del Pian;28;Mesocco
strada del Pian;26;Mesocco
strada del Pian;20;Mesocco
strada del Pian;22;Mesocco
strada del Pian;24;Mesocco
strada del Pian;16;Mesocco
strada del Pian;14;Mesocco
Pian San Giacomo;626a;Mesocco
strada del Pian;2a;Mesocco
strada de Séi;1;Mesocco
strada de Séi;2;Mesocco
strada de Séi;4;Mesocco
strada de Séi;5;Mesocco
strada de Séi;7;Mesocco
strada de Séi;9;Mesocco
strada de Séi;15;Mesocco
strada de Séi;6;Mesocco
strada de Séi;21;Mesocco
strada de Séi;19;Mesocco
strada de Séi;17;Mesocco
strada de Séi;25;Mesocco
strada de Séi;27;Mesocco
strada de Séi;35;Mesocco
strada de Séi;31;Mesocco
strada de Séi;33;Mesocco
strada de Téc mèzz;1;Mesocco
strada de Téc mèzz;3;Mesocco
Cascléi;664;Mesocco
strada del Pian;12;Mesocco
strada de Bréta;4;Mesocco
strada de Bréta;2;Mesocco
strada de Ghifa;29;Mesocco
strada de Ghifa;31;Mesocco
strada de Ghifa;39;Mesocco
strada de Téc mèzz;22;Mesocco
strada de Ghifa;43;Mesocco
strada de Ghifa;45;Mesocco
Còzz de fòra;5;Mesocco
Còzz de fòra;9;Mesocco
Còzz de fòra;7;Mesocco
Còzz de fòra;3;Mesocco
Breta;980;Mesocco
strada de Ghifa;32;Mesocco
strada de Ghifa;30;Mesocco
strada de Ghifa;28;Mesocco
strada de Téc mèzz;18;Mesocco
strada de Téc mèzz;16;Mesocco
strada de Ghifa;51;Mesocco
